JobID | Start Date           | End Date             | Exit Status
42944 |   00:47:49 - 03/June |   00:47:58 - 03/June | COMPLETED: 0
42945 |   00:49:19 - 03/June |   00:49:28 - 03/June | COMPLETED: 0
42946 |   00:51:02 - 03/June |   00:51:31 - 03/June | COMPLETED: 0
42947 |   03:39:42 - 03/June |   03:40:24 - 03/June | COMPLETED: 1
42948 |   03:40:35 - 03/June |   03:40:59 - 03/June | COMPLETED: 1
42949 |   03:43:10 - 03/June |   03:43:35 - 03/June | COMPLETED: 1
42950 |   03:44:08 - 03/June |   03:44:31 - 03/June | COMPLETED: 1
42951 |   03:45:44 - 03/June |                    - | FAILED    
42952 |   03:46:34 - 03/June |                    - | FAILED    
42953 |   03:50:49 - 03/June |   23:39:25 - 05/June | COMPLETED: 0
42954 |   05:51:05 - 03/June |                    - | FAILED    
42955 |   05:51:05 - 03/June |                    - | FAILED    
42958 |   08:29:14 - 03/June |   08:37:49 - 03/June | COMPLETED: 0
42959 |   13:39:52 - 03/June |   13:40:25 - 03/June | COMPLETED: 1
42960 |   13:42:36 - 03/June |   05:11:02 - 04/June | COMPLETED: 0
42961 |   15:02:22 - 03/June |                    - | FAILED    
42962 |   15:02:41 - 03/June |   15:44:20 - 03/June | COMPLETED: 0
42963 |   15:02:54 - 03/June |   15:44:10 - 03/June | COMPLETED: 0
42964 |   15:03:06 - 03/June |   15:45:14 - 03/June | COMPLETED: 0
42965 |   15:03:18 - 03/June |   15:45:45 - 03/June | COMPLETED: 0
42966 |   15:03:24 - 03/June |   15:45:31 - 03/June | COMPLETED: 0
42967 |   15:03:31 - 03/June |   15:44:28 - 03/June | COMPLETED: 0
42968 |   15:03:39 - 03/June |   15:44:09 - 03/June | COMPLETED: 0
42969 |   15:03:45 - 03/June |   15:45:43 - 03/June | COMPLETED: 0
42972 |   15:33:32 - 03/June |   02:20:02 - 04/June | COMPLETED: 0
42970 |   15:42:35 - 03/June |   16:20:15 - 03/June | COMPLETED: 0
42971 |   15:42:35 - 03/June |   16:21:14 - 03/June | COMPLETED: 0
42973 |   15:43:39 - 03/June |   21:20:34 - 03/June | COMPLETED: 1
42974 |   15:50:18 - 03/June |   17:14:43 - 03/June | COMPLETED: 0
42975 |   17:02:54 - 03/June |   17:23:55 - 03/June | COMPLETED: 0
42976 |   17:26:20 - 03/June |   17:59:18 - 03/June | COMPLETED: 1
42977 |   20:51:14 - 03/June |   00:13:29 - 04/June | COMPLETED: 0
42978 |   21:05:32 - 03/June |   02:59:57 - 04/June | COMPLETED: 0
42979 |   02:40:45 - 04/June |   02:57:43 - 04/June | COMPLETED: 0
42980 |   05:12:52 - 04/June |                    - | FAILED    
